seq,file_name,title_ja,source,width,height,status,date_year,date_month,date_day
1,001-kodai-01,001. 鴻台〔二首・其一〕,,,,,,,
2,002-kodai-02,002. 鴻台〔二首・其二〕,,,,,,,
3,003-daiga,003. 題画,,,,,,,
4,004-okuda-kikoku,004. 送奥田詞兄帰国,,,,,,,
5,005-rishu-jiyujin-in,005. 離愁次友人韻,,,,,,,
6,006-sokuji,006. 即時,,,,,,,
7,007-sokuji-01,007. 即時〔二首·其一〕,,,,,,,
8,008-sokuji-02,008. 即時〔二首·其二〕,,,,,,,
9,009-nanakusa-01,009. 〔「『七草集』評」より九首・其一〕明治二十二年五月,,,,,1889,1889-05,
10,010-nanakusa-02,010. 〔「『七草集』評」より九首・其二〕明治二十二年五月,,,,,1889,1889-05,
11,011-nanakusa-03,011. 〔「『七草集』評」より九首・其三〕明治二十二年五月,,,,,1889,1889-05,
12,012-nanakusa-04,012. 〔「『七草集』評」より九首・其四〕明治二十二年五月,,,,,1889,1889-05,
13,013-nanakusa-05,013. 〔「『七草集』評」より九首・其五〕明治二十二年五月,,,,,1889,1889-05,
14,014-nanakusa-06,014. 〔「『七草集』評」より九首・其六〕明治二十二年五月,,,,,1889,1889-05,
15,015-nanakusa-07,015. 〔「『七草集』評」より九首・其七〕明治二十二年五月,,,,,1889,1889-05,
16,016-nanakusa-08,016. 〔「『七草集』評」より九首・其八〕明治二十二年五月,,,,,1889,1889-05,
17,017-nanakusa-09,017. 〔「『七草集』評」より九首・其九〕明治二十二年五月,,,,,1889,1889-05,
18,018-bokusetsu-01,018. 〔『木屑録』より十四首・其一〕明治二十二年九月,,,,,1889,1889-09,
19,019-bokusetsu-02,019. 〔『木屑録』より十四首・其二〕明治二十二年九月,,,,,1889,1889-09,
20,020-bokusetsu-03,020. 〔『木屑録』より十四首・其三〕明治二十二年九月,,,,,1889,1889-09,
21,021-bokusetsu-04,021. 〔『木屑録』より十四首・其四〕明治二十二年九月,,,,,1889,1889-09,
22,022-bokusetsu-05,022. 〔『木屑録』より十四首・其五〕明治二十二年九月,,,,,1889,1889-09,
23,023-bokusetsu-06,023. 〔『木屑録』より十四首・其六〕明治二十二年九月,,,,,1889,1889-09,
24,024-bokusetsu-07,024. 〔『木屑録』より十四首・其七〕明治二十二年九月,,,,,1889,1889-09,
25,025-bokusetsu-08,025. 〔『木屑録』より十四首・其八〕明治二十二年九月,,,,,1889,1889-09,
26,026-bokusetsu-09-tojogan-choshi,026. 〔『木屑録』より十四首・其九〕自東金至銚子途上口号,,,,,1889,1889-09,
27,027-bokusetsu-10,027. 〔『木屑録』より十四首・其十〕,,,,,1889,1889-09,
28,028-bokusetsu-11-tenmei-fune-hata,028. 〔『木屑録』より十四首・其十一〕天明舟達三堀旗亭即事,,,,,1889,1889-09,
29,029-bokusetsu-12-kakuchu-okka,029. 〔『木屑録』より十四首・其十二〕客中憶家,,,,,1889,1889-09,
30,030-bokusetsu-13-betsugo-kyoyu,030. 〔『木屑録』より十四首・其十三〕別後憶京中諸友,,,,,1889,1889-09,
